"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級数,学級数（学級）,（再掲）特別支援学級数
総社市立昭和小学校,12,24,21,19,22,17,59,56,115,13,9,3
総社市立維新小学校,1,6,8,3,5,7,15,15,30,,3,
総社市立山手小学校,80,62,75,70,79,63,222,207,429,27,18,5
総社市立清音小学校,58,61,58,53,49,68,175,172,347,19,15,3
高梁市立高梁小学校,74,50,64,67,47,58,177,183,360,22,16,4
高梁市立津川小学校,7,9,8,11,10,8,27,26,53,3,7,1
高梁市立川面小学校,10,12,6,11,13,8,32,28,60,5,7,1
高梁市立巨瀬小学校,1,5,2,5,6,7,13,13,26,,3,
高梁市立中井小学校,3,4,8,4,4,3,12,14,26,,3,
高梁市立玉川小学校,2,6,1,6,4,5,10,14,24,1,4,1
高梁市立宇治小学校,3,3,,2,2,2,6,6,12,,3,
高梁市立松原小学校,1,1,5,3,4,3,9,8,17,1,4,1
高梁市立落合小学校,35,29,27,31,38,29,93,96,189,13,10,3
高梁市立福地小学校,1,1,1,4,3,3,9,4,13,,3,
高梁市立有漢東小学校,8,6,6,6,6,5,21,16,37,,4,
高梁市立有漢西小学校,6,8,12,9,10,10,22,33,55,4,7,1
高梁市立成羽小学校,32,17,22,28,25,25,82,67,149,9,8,2
高梁市立川上小学校,12,9,13,17,7,14,41,31,72,10,8,2
高梁市立富家小学校,5,5,7,4,9,6,17,19,36,3,5,1
新見市立思誠小学校,54,50,52,50,52,60,177,141,318,28,16,4
新見市立高尾小学校,8,14,6,10,15,6,31,28,59,,6,
新見市立新見南小学校,22,21,31,27,36,33,85,85,170,6,10,1
新見市立井倉小学校,4,4,3,9,2,6,19,9,28,1,4,1
新見市立草間台小学校,,6,9,6,6,8,19,16,35,,3,
新見市立塩城小学校,6,5,5,6,6,8,23,13,36,,4,
新見市立上市小学校,12,12,11,14,9,12,41,29,70,,6,
新見市立西方小学校,14,9,5,12,10,13,29,34,63,3,7,1
新見市立千屋小学校,3,2,6,2,4,5,11,11,22,,3,
新見市立刑部小学校,13,18,17,17,22,16,62,41,103,5,8,2
新見市立神郷北小学校,10,3,8,3,1,8,20,13,33,2,5,1
新見市立神代小学校,4,7,9,6,7,11,27,17,44,1,6,1
新見市立本郷小学校,15,16,11,20,11,18,45,46,91,3,7,1
新見市立萬歳小学校,1,4,3,3,5,7,15,8,23,,3,
新見市立新砥小学校,7,7,4,7,6,6,19,18,37,,4,
新見市立矢神小学校,6,3,4,4,3,8,12,16,28,,4,
新見市立野馳小学校,10,10,9,10,6,18,33,30,63,,6,
備前市立西鶴山小学校,5,5,9,10,15,11,29,26,55,3,7,1
備前市立香登小学校,19,20,16,21,8,20,46,58,104,9,8,2
備前市立伊部小学校,37,45,58,33,43,48,143,121,264,16,14,4
備前市立片上小学校,19,25,22,22,13,28,68,61,129,14,9,3
備前市立伊里小学校,31,26,25,22,40,49,84,109,193,9,9,2
備前市立東鶴山小学校,4,8,9,7,3,6,19,18,37,1,5,1
備前市立三石小学校,9,16,9,10,13,9,36,30,66,3,7,1
備前市立日生西小学校,22,17,17,22,26,16,63,57,120,2,7,1
備前市立日生東小学校,20,23,19,17,21,21,74,47,121,5,8,2
備前市立吉永小学校,30,26,49,30,32,35,107,95,202,12,9,2
瀬戸内市立牛窓東小学校,13,17,10,16,19,11,37,49,86,4,8,2
瀬戸内市立牛窓西小学校,8,8,10,14,7,22,37,32,69,8,8,2
瀬戸内市立牛窓北小学校,12,12,9,11,6,6,33,23,56,,6,
瀬戸内市立邑久小学校,113,123,135,126,101,110,364,344,708,43,30,7
瀬戸内市立今城小学校,22,32,18,40,22,32,90,76,166,13,9,2
瀬戸内市立裳掛小学校,9,7,2,3,8,8,24,13,37,3,5,1
瀬戸内市立美和小学校,7,6,9,11,6,13,28,24,52,,6,
