"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
倉敷市立大高小学校,169,196,179,166,176,189,564,511,1075,64,44, 12
倉敷市立葦高小学校,144,115,144,139,131,123,422,374,796,35,30,6
倉敷市立倉敷南小学校,95,108,84,103,107,102,289,310,599,37,24,6
倉敷市立中洲小学校,142,137,126,140,122,132,380,419,799,34,29,5
倉敷市立中島小学校,174,159,167,137,170,138,507,438,945,40,34,6
倉敷市立粒江小学校,98,86,100,92,76,85,287,250,537,18,20,3
倉敷市立中庄小学校,134,153,133,178,148,157,452,451,903,48,35,8
倉敷市立帯江小学校,103,130,104,106,115,92,350,300,650,31,24,5
倉敷市立菅生小学校,68,73,84,70,90,80,235,230,465,22,18,4
倉敷市立豊洲小学校,68,66,70,84,80,59,216,211,427,23,17,4
倉敷市立庄小学校,154,136,150,165,156,143,451,453,904,34,32,6
倉敷市立茶屋町小学校,168,212,203,203,217,241,654,590,1244,51,44,9
倉敷市立西阿知小学校,190,166,180,138,175,127,511,465,976,37,35,6
倉敷市立第一福田小学校,116,117,127,134,114,87,355,340,695,32,28,5
倉敷市立第二福田小学校,122,127,104,119,125,121,357,361,718,25,26,4
倉敷市立第三福田小学校,58,46,56,68,44,66,168,170,338,15,13,2
倉敷市立第四福田小学校,96,97,119,110,103,118,323,320,643,44,27,7
倉敷市立第五福田小学校,37,61,42,42,55,59,162,134,296,21,15,4
倉敷市立水島小学校,23,12,17,20,21,22,68,47,115,12,8,2
倉敷市立旭丘小学校,56,55,44,52,52,50,146,163,309,19,16,4
倉敷市立連島西浦小学校,38,47,43,44,42,59,144,129,273,11,15,3
倉敷市立連島神亀小学校,57,53,56,54,59,53,168,164,332,19,15,3
倉敷市立連島東小学校,70,59,55,73,82,82,189,232,421,29,16,4
倉敷市立連島南小学校,151,149,125,148,122,110,423,382,805,34,30,6
倉敷市立連島北小学校,22,22,24,20,20,14,58,64,122,0,6,0
倉敷市立霞丘小学校,1,1,3,2,0,1,5,3,8,0,3,0
倉敷市立天城小学校,102,103,100,107,103,109,313,311,624,16,22,3
倉敷市立味野小学校,35,52,56,39,51,48,158,123,281,19,13,3
倉敷市立赤崎小学校,51,71,69,67,71,66,210,185,395,17,15,3
倉敷市立下津井東小学校,14,12,12,17,21,19,53,42,95,5,7,1
倉敷市立下津井西小学校,11,10,10,9,10,11,28,33,61,3,7,1
倉敷市立本荘小学校,25,18,18,24,22,17,70,54,124,6,8,2
倉敷市立児島小学校,121,129,106,115,159,137,409,358,767,37,30,6
倉敷市立緑丘小学校,37,40,35,30,26,31,118,81,199,11,10,3
倉敷市立琴浦東小学校,40,43,56,47,50,43,142,137,279,16,15,3
倉敷市立琴浦西小学校,91,72,78,70,67,74,246,206,452,24,17,4
倉敷市立琴浦南小学校,34,38,36,35,38,49,128,102,230,16,11,3
倉敷市立琴浦北小学校,0,2,2,2,3,2,6,5,11,0,3,0
倉敷市立郷内小学校,68,53,45,69,56,84,192,183,375,21,16,4
倉敷市立郷内小学校尾原分校,0,0,0,0,0,0,0,0,0,0,0,0
倉敷市立玉島小学校,70,56,61,65,71,64,215,172,387,21,17,5
倉敷市立上成小学校,75,76,74,66,74,69,236,198,434,27,16,4
倉敷市立乙島小学校,68,60,53,68,53,68,193,177,370,19,15,3
倉敷市立乙島東小学校,27,29,28,28,26,24,84,78,162,17,9,3
倉敷市立柏島小学校,57,47,40,41,43,57,149,136,285,15,14,3
倉敷市立長尾小学校,157,149,159,167,139,145,478,438,916,31,33,5
倉敷市立富田小学校,72,79,81,76,74,76,222,236,458,20,19,3
倉敷市立玉島南小学校,65,58,48,70,62,85,198,190,388,12,16,3
倉敷市立沙美小学校,4,3,4,3,3,6,10,13,23,0,3,0
倉敷市立南浦小学校,1,2,4,3,2,3,9,6,15,0,3,0
倉敷市立穂井田小学校,7,8,5,9,7,14,31,19,50,4,6,1
倉敷市立船穂小学校,72,81,66,69,67,61,222,194,416,18,16,3
倉敷市立柳井原小学校,8,4,7,6,6,2,15,18,33,2,5,1
倉敷市立川辺小学校,51,55,40,60,39,52,142,155,297,20,13,3
倉敷市立岡田小学校,31,29,51,32,36,43,104,118,222,8,10,2
倉敷市立薗小学校,34,36,45,44,46,40,128,117,245,12,11,2
倉敷市立二万小学校,16,10,14,13,15,23,52,39,91,9,8,2
倉敷市立箭田小学校,44,45,58,44,50,46,152,135,287,14,15,3
倉敷市立呉妹小学校,13,6,10,13,10,13,40,25,65,0,6,0
津山市立東小学校,38,37,43,32,49,51,140,110,250,8,12,2
津山市立西小学校,30,32,35,34,37,33,119,82,201,17,9,3
津山市立南小学校,19,36,30,26,25,29,89,76,165,4,7,1
